Year,n_companies,Total_Production,Total_Energy,Total_CO2,Total_Water,Avg_Energy_KPI,Avg_CO2_KPI,Avg_Water_KPI,Avg_Renewable_Share,Avg_ISO_Cert,Total_Waste,Total_Waste_Recovered,Avg_Waste_Recovery_Rate,Total_Elec_by_Country,Total_Elec_Canada_GJ,Total_Elec_Mexico_GJ,Total_Elec_United_States_GJ,Total_Elec_Japan_GJ,Total_Elec_France_GJ,Total_Elec_Hungary_GJ,Total_Elec_Italy_GJ
2009,10,26400960.525991127,353457165.17567694,27143265.593545295,202014838.0271763,14.4356333801852,1.1116758387614225,7.990623195062381,9.960550000000001,93.512,337621.6,223096.06,67.24343999999999,126824074.47999999,13849602.61,11720811.219999999,53742631.38,23738926.51,10299459.02,7807531.59,5665112.15
2010,10,27114339.042768434,368771575.7888561,28283848.213473998,204005040.9378265,14.621206194177853,1.125126777907775,7.8426017292418235,10.76055,91.61800000000001,317850.61,227395.22,69.14827,134622668.32,14698147.6,12010263.12,57279782.33,25532773.71,10999170.23,8291848.12,5810683.21
2011,10,28088627.416129716,366640012.8539103,28078822.960198116,210319969.4738777,14.047190293954733,1.0783653801832656,7.770053735566362,11.56055,93.957,317689.47,207019.41,66.88843,136944155.46,14850445.41,12500355.46,58016148.22,25712275.82,11096518.06,8588142.3,6180270.1899999995
2012,10,28529296.86362897,375463112.6482422,28576819.549874254,220790266.4170074,14.030130997265974,1.071047197912795,8.025712752764615,12.36055,91.892,335600.9,229578.32,69.11319,140846364.28,15186214.870000001,12814170.59,59663621.5,26156427.33,11832336.7,8866454.01,6327139.279999999
2013,10,29406870.663093936,388000059.63152194,29180851.139892876,229345440.9489519,14.368601402418864,1.0833947309308694,8.13451768940728,13.16055,90.987,319914.42,217816.49,67.96918000000001,141939617.64,15231588.18,12878042.04,60115691.94,27106095.15,11581868.71,8755550.61,6270781.01
2014,10,29664904.760708302,391451866.8855202,29220017.22364821,221772180.8532933,14.105311576031752,1.0531522131738802,7.791587935790984,13.960550000000001,92.317,358317.70999999996,228923.91,63.81663999999999,142373656.69,15436673.48,13119614.0,59836506.75,26934250.150000002,11779138.5,8910236.88,6357236.93
2015,10,30082429.215976197,405179432.8918867,30162029.544186976,224926750.25480768,14.243445229494956,1.0630478983882488,7.822978734219655,14.76055,100.0,339639.58999999997,221461.29,65.86618,149386939.4,16571913.78,13588198.620000001,63185422.35,28097544.11,12077246.77,9168009.46,6698604.31
2016,10,30589610.254871927,401733785.1814331,29829109.314336956,229129594.7004924,13.967191715814158,1.038430186752455,7.824885552781389,15.560550000000001,100.0,318094.39,204880.47,65.39054,151770494.92000002,16445739.28,13938027.87,64983861.45,27870787.2,12425063.89,9511956.54,6595058.6899999995
2017,10,31656309.260093585,405787661.0237987,29917427.23270287,245741957.9934229,13.636857108531155,1.0041413588577532,8.078229823208364,16.36055,100.0,347316.76,245717.59,68.35109,152188734.55,16561901.87,13797629.120000001,64320229.4,28603205.3,12642951.72,9507492.74,6755324.4
2018,10,32252408.95714827,418010535.4296636,30612863.337784097,240564642.71161765,13.719099062293546,1.0077498554422095,7.704218024893874,17.16055,100.0,368790.27,258293.01,68.59567,157202814.87,17665447.05,14569842.27,65812979.71,29862127.86,12792302.45,9656582.290000001,6843533.24
2019,10,32399484.465959657,427295218.5714701,31056108.74620507,240813771.7824425,13.909153650601283,1.0117169821758043,7.691840149832283,17.96055,100.0,375882.77999999997,271365.6,72.90786,159658209.51999998,17561937.87,14232234.73,68086968.87,29761381.75,13286174.14,9737397.959999999,6992114.2
2020,10,34188997.10640722,438200897.95576537,31824862.648832694,259269879.83843786,13.677054399812835,0.9942757278860853,7.831940090555966,18.760550000000002,100.0,398063.68,269274.11,65.79999000000001,167217016.55,17990430.34,15052675.469999999,72078505.22,30619468.419999998,13709082.64,10322927.01,7443927.45
2021,10,34288895.76744999,446508513.1647888,32115108.368795577,260900906.8908815,13.724893515766576,0.9888639756985114,7.933538036901034,19.56055,100.0,407168.32,271780.06,65.58842999999999,168304039.99,18179209.7,15145297.11,71592526.53,31924085.37,13624670.489999998,10394219.92,7444030.87
2022,10,35336655.2446901,452296319.8356645,32130758.199525498,276354756.7233498,13.79052281188368,0.9818850000920296,8.17854354966314,20.36055,100.0,430281.30000000005,314968.8,73.51341,166246958.11,18263165.19,15235271.33,70766486.89,31047834.27,13389751.91,10185943.280000001,7358505.24
2023,10,35679908.53985054,455290608.5619045,32293118.43185407,273256975.0345661,13.553263012069616,0.9618497039195135,7.934266764215448,21.16055,100.0,401359.54000000004,281919.68,69.67175,172387753.26,18708631.3,15932137.629999999,72485393.7,32793203.34,14061515.4,10816272.74,7590599.15
