Company,Year,Total no. of sites,ISO 14001 sites,% certified sites,Production,Water intake,Water intake - KPI,Total Electricity,Renewable Electricity Purchased,Non-Renewable Electricity Purchased,Self-generated AND consumed electricity on-site,Purchased Steam,Sold Electricity,Sold Steam,Natural Gas,Coal,Propane,Fuel Oil,Diesel,Petrol,Biomass,Waste tires,LPG,Other,Total energy,Total energy - KPI,Total CO2 - Scope 1,Total CO2 - Scope 2,Total CO2,Total CO2 - KPI,Total Waste,Waste Recovered,Recovery Rate,Elec_Canada_GJ,Elec_Mexico_GJ,Elec_United_States_GJ,Elec_Japan_GJ,Elec_France_GJ,Elec_Hungary_GJ,Elec_Italy_GJ,Renewable_Electricity_Share_%,Scope1_Share_%,Scope2_Share_%,Fossil_Energy_Share_%,Water_per_ton,CO2_per_ton,Energy_per_ton,ISO_Certification_%,Waste_Recovery_Rate_%,Total_Electricity_by_Country_GJ
VerdaTyres Corp,2009,53.0,53.0,0.9595,1287667.40731299,10733992.5078151,8.33599767055848,5280887.97979024,561095.142946107,4719792.83684414,28054.7571473054,159571.441116187,0.0,0.0,5551786.00771981,167057.665242952,182524.711515381,403030.434586812,87500.6473025274,18230.9649917761,0.0,0.0,387829.320214949,2289.46244573487,12240708.6349264,9.50611047962254,399706.579217756,589974.104605517,989680.683823273,0.768584091049154,13677.32,11033.4,80.6693,432272.11,319979.31,2294655.87,917860.06,403801.35,492683.54,320057.14,10.625,40.3874,59.6126,55.5544,8.336,0.7686,9.5061,95.95,80.6693,5181309.38
VerdaTyres Corp,2010,53.0,53.0,0.862,1215645.13986388,9644463.88354261,7.93361776992139,4710754.10689004,538204.365965912,4172549.74092413,26910.2182982956,160876.921796625,0.0,0.0,5766108.87047297,144393.385807513,179792.387651147,345110.514956583,85288.7081675468,18886.483688463,0.0,0.0,438829.610537897,2435.46995175256,11852476.4599205,9.74994763788366,407674.710839207,521568.717615516,929243.428454723,0.764403523678611,15750.52,8750.32,55.5558,394569.37,292041.58,2058859.86,820956.54,364929.1,415668.37,283344.98,11.425,43.8717,56.1283,58.8978,7.9336,0.7644,9.7499,86.2,55.5558,4630369.8
VerdaTyres Corp,2011,53.0,53.0,0.9594,1220912.53676841,9573912.2563923,7.84160369237683,5055307.26175877,618012.073879846,4437295.18787892,30900.6036939923,184254.041287847,0.0,0.0,5910737.33070644,137720.195576777,193639.960826157,361692.980823474,94760.1245544441,16887.8461422541,0.0,0.0,406256.513568353,2322.99486032753,12363579.2501048,10.126506918202,416039.567785077,554661.898484865,970701.466269942,0.795062248143721,13458.87,8460.67,62.8632,408948.19,292383.62,2227603.5,897794.83,402647.94,467952.52,294208.99,12.225,42.8597,57.1403,57.621,7.8416,0.7951,10.1265,95.94,62.8632,4991539.59
VerdaTyres Corp,2012,54.0,54.0,0.8816,1270375.09468501,11274943.8315235,8.87528721138789,5595261.08950538,728783.599333658,4866477.49017173,36439.1799666829,169751.938965087,0.0,0.0,6066090.15216947,123274.555326472,205334.681214941,321702.527567948,89417.9489505768,16937.4993315746,0.0,0.0,454001.615628926,2302.80701909742,13044074.8156795,10.2678924281917,423309.835493516,608309.686271466,1031619.52176498,0.812058994293156,14735.9,10461.78,70.9952,427319.06,339326.11,2434909.83,963341.3,467713.94,527021.49,346069.05,13.025,41.0335,58.9665,55.8036,8.8753,0.8121,10.2679,88.16,70.9952,5505700.78
VerdaTyres Corp,2013,54.0,54.0,0.9847,1368361.80967297,11158380.6729794,8.15455429558221,5157674.93619303,713049.336471057,4444625.59972198,35652.4668235529,193257.58116723,0.0,0.0,6065766.27762599,106780.70313995,182762.830093751,285749.74313159,97012.732715487,18478.1303689174,0.0,0.0,454313.121016137,2226.51051368441,12564022.5659658,9.18179861287452,418199.249794137,555578.199965247,973777.449759384,0.711637406770442,13864.65,7991.19,57.6372,420215.71,307608.45,2233230.54,927933.72,393402.21,483191.02,301995.69,13.825,42.9461,57.0539,57.4107,8.1546,0.7116,9.1818,98.47,57.6372,5067577.34
VerdaTyres Corp,2014,54.0,54.0,0.9994,1354620.76198052,11279336.9081972,8.32656432321788,5939198.60512406,868608.690208396,5070589.91491566,43430.4345104198,193643.86759403,0.0,0.0,5710027.20261197,106793.764418211,207377.75667947,287426.577890947,93607.1831602381,18051.2981759628,0.0,0.0,441255.95428037,2368.68998503485,12999750.8999203,9.59659800349881,398922.302342316,633823.739364458,1032746.04170677,0.762387577905458,17119.23,10856.36,63.4162,465062.06,349723.96,2528458.71,1093332.38,476900.4,545095.28,361841.84,14.625,38.6273,61.3727,52.8234,8.3266,0.7624,9.5966,99.94,63.4162,5820414.63
VerdaTyres Corp,2015,55.0,55.0,1.0,1401007.02027595,12454601.6636524,8.88974964679282,5985163.22396166,923212.328425547,5061950.89553611,46160.6164212773,180059.35227313,0.0,0.0,6332425.69126214,87309.9526795849,219597.082577658,282497.297843945,96190.1986197199,18045.6144157553,0.0,0.0,489339.250257907,2260.71575750936,13692888.379649,9.77360440131986,435258.125747305,632743.861942014,1068001.98768932,0.762310232734567,17071.69,13638.68,79.8906,459109.54,348192.24,2570838.45,1058511.7,473482.78,526348.07,370915.08,15.425,40.7544,59.2456,54.975,8.8897,0.7623,9.7736,100.0,79.8906,5807397.86
VerdaTyres Corp,2016,55.0,55.0,1.0,1502714.04925414,12532899.7166911,8.34017604541042,6025541.11953624,977644.953853534,5047896.16568271,48882.2476926767,192141.204372493,0.0,0.0,5952513.96925066,78656.737851383,194293.13871392,264639.984508781,107710.222869608,18589.9416565681,0.0,0.0,476274.931774168,2224.36480903108,13312585.6153428,8.85902785160653,410300.02159841,630987.020710338,1041287.04230875,0.692937583717662,15774.4,9872.44,62.5852,470343.65,338645.17,2714046.81,1008941.24,491147.06,541231.22,340675.14,16.225,39.4032,60.5968,53.2947,8.3402,0.6929,8.859,100.0,62.5852,5905030.29
VerdaTyres Corp,2017,55.0,55.0,1.0,1561904.22036519,13870715.63954,8.88064418975502,5500562.5221017,936471.597555527,4564090.92454617,46823.5798777764,194843.189011499,0.0,0.0,6151725.99344926,72736.7084295173,224096.181669167,214997.794275852,103306.955305087,17793.8214466326,0.0,0.0,482999.173688181,2536.31143385523,12965598.6508107,8.30114835580585,418969.885523943,570511.365568271,989481.251092214,0.633509557238318,12555.61,9670.01,77.0174,437905.97,329142.2,2478765.85,924201.74,422958.88,464119.57,333457.06,17.025,42.3424,57.6576,56.0729,8.8806,0.6335,8.3011,100.0,77.0174,5390551.27
VerdaTyres Corp,2018,56.0,56.0,1.0,1485019.28574157,11740235.6819064,7.90577994146636,6051659.65768308,1078709.24512321,4972950.41255987,53935.4622561605,206683.123133036,0.0,0.0,6422270.33153488,56947.8246720369,236815.884726534,214564.880229867,104829.298155711,17702.7940257968,0.0,0.0,481253.49976745,2288.23652511467,13795015.5304535,9.28945210537431,433407.313161422,621618.801569984,1055026.11473141,0.710446069530039,18359.42,11737.96,63.9343,463003.2,356236.36,2675639.95,1114309.71,490792.38,565738.89,362090.7,17.825,41.0802,58.9198,54.6333,7.9058,0.7104,9.2895,100.0,63.9343,6027811.19
VerdaTyres Corp,2019,56.0,56.0,1.0,1494447.91694523,12560924.9864871,8.40506038655577,5871592.33861749,1093584.95709767,4778007.38151982,54679.2478548837,194311.586828327,0.0,0.0,6410008.64973192,48606.7759675095,214199.034212827,202847.529438544,114255.411007402,16441.0357899391,0.0,0.0,500861.398884922,2458.39053890796,13575582.1510178,9.08401155844051,431316.25929733,597250.922689977,1028567.18198731,0.688258968629554,13206.67,9806.96,74.2576,467097.72,343511.7,2630031.92,1023623.23,456260.95,508418.52,325216.45,18.625,41.9337,58.0663,55.3175,8.4051,0.6883,9.084,100.0,74.2576,5754160.49
VerdaTyres Corp,2020,59.0,57.0,0.966102,1653121.9969,13073491.4506,7.908365,6593746.9501,1423551.7455,5099017.6173,71177.5873,204176.8157,0.0,0.0,7289084.8239,3420.3246,0.0,0.0,115841.8275,0.0,0.0,0.0,0.0,0.0,14206270.7418,8.593601,417830.2312,637377.2022,1055207.4334,0.638312,22690.92,17753.31,78.2397,,,,,,,,22.6689,39.597,60.403,52.1484,7.9084,0.6383,8.5936,96.61,78.2397,
VerdaTyres Corp,2021,57.0,57.0,1.0,1654041.64584074,14088879.6735614,8.51785062908749,6876437.26170907,1390760.47150083,5485676.79020824,69538.0235750415,197961.296072036,0.0,0.0,7046201.43955426,24738.1574017984,246341.657093729,146264.261598359,106790.920825797,17508.0097418769,0.0,0.0,536891.295023788,2308.85958152707,15201443.1586022,9.19048392573903,463919.159085542,685709.59877603,1149628.75786157,0.695042208128456,15881.43,9064.88,57.0785,513702.31,380218.41,3078464.16,1217031.61,531734.94,612254.94,405502.14,20.225,40.3538,59.6462,53.4623,8.5179,0.695,9.1905,100.0,57.0785,6738908.51
VerdaTyres Corp,2022,57.0,57.0,1.0,1561144.63996563,13814939.9715681,8.84923767977847,6445587.26719589,1355185.69337909,5090401.5738168,67759.2846689547,228089.088230871,0.0,0.0,7354114.23812809,13255.446556856,256304.749060221,140512.784360081,123114.594132987,18857.426306196,0.0,0.0,585058.647888835,2265.87530941806,15167160.1171694,9.71540991711269,484287.913006642,636300.1967271,1120588.10973374,0.717799030945915,14528.0,11491.52,79.0991,501950.25,386516.02,2923802.47,1104488.29,480486.46,547177.98,372254.04,21.025,43.2173,56.7827,55.9992,8.8492,0.7178,9.7154,100.0,79.0991,6316675.51
VerdaTyres Corp,2023,59.0,57.0,0.966102,1653121.9969,13073491.4506,7.908365,6593746.9501,1423551.7455,5099017.6173,71177.5873,204176.8157,0.0,0.0,7289084.8239,3420.3246,0.0,0.0,115841.8275,0.0,0.0,0.0,0.0,0.0,14206270.7418,8.593601,417830.2312,637377.2022,1055207.4334,0.638312,22690.92,17753.31,78.2397,,,,,,,,22.6689,39.597,60.403,52.1484,7.9084,0.6383,8.5936,96.61,78.2397,
