Company,Year,Total no. of sites,ISO 14001 sites,% certified sites,Production,Water intake,Water intake - KPI,Total Electricity,Renewable Electricity Purchased,Non-Renewable Electricity Purchased,Self-generated AND consumed electricity on-site,Purchased Steam,Sold Electricity,Sold Steam,Natural Gas,Coal,Propane,Fuel Oil,Diesel,Petrol,Biomass,Waste tires,LPG,Other,Total energy,Total energy - KPI,Total CO2 - Scope 1,Total CO2 - Scope 2,Total CO2,Total CO2 - KPI,Renewable_Electricity_Share_%,Scope1_Share_%,Scope2_Share_%,Fossil_Energy_Share_%,Water_per_ton,CO2_per_ton,Energy_per_ton,ISO_Certification_%
ZetaTrac LLC,2009,45.0,45.0,0.9351,3974798.51172395,30315513.2621791,7.62693081743927,17800908.9139773,1217458.50026747,16583450.4137098,60872.9250133737,1803320.40899834,0.0,0.0,23344260.2747534,1193103.48528296,329053.294854601,594731.918068313,171829.795986414,76345.5081085608,0.0,0.0,1575257.28188566,3564.33387551456,46892375.2157911,11.7974219516986,1596404.88659331,2072931.30171373,3669336.18830704,0.923150237045746,6.8393,43.5066,56.4934,58.1931,7.6269,0.9232,11.7974,93.51
ZetaTrac LLC,2010,45.0,45.0,0.9145,3660300.61470821,28865558.6045584,7.88611691853061,20213963.1054344,1544206.34743337,18669756.7580011,77210.3173716683,1951415.85001637,0.0,0.0,24113095.9359604,1001019.09861256,344177.474428065,559478.041111353,162625.203266156,74611.6584509815,0.0,0.0,1598036.2846276,3225.86531289086,50021648.5172208,13.6659946224686,1619965.58617028,2333719.59475013,3953685.18092042,1.08015313415333,7.6393,40.9736,59.0264,55.6884,7.8861,1.0802,13.666,91.45
ZetaTrac LLC,2011,45.0,45.0,0.8992,3840186.56902792,28901192.1127398,7.52598645749018,20927723.7338783,1766154.49056041,19161569.2433179,88307.7245280207,1899347.24148709,0.0,0.0,23596770.4840625,1030813.24033576,358596.149199987,549568.227916432,189695.676819871,71783.9373608825,0.0,0.0,1815654.74406362,3173.84775118342,50443127.2828756,13.1355928614803,1607987.58714979,2395196.15541474,4003183.74256453,1.04244511838337,8.4393,40.1677,59.8323,54.7469,7.526,1.0424,13.1356,89.92
ZetaTrac LLC,2012,46.0,46.0,0.9882,3776608.6975279,32640304.6738577,8.6427552569117,20861234.3086384,1927433.11946572,18933801.1891727,96371.655973286,2075080.21107652,0.0,0.0,25456306.7162594,904950.042256205,344514.411959861,454978.726633974,179950.93276615,80775.2663858881,0.0,0.0,1790385.96283329,3606.57078983259,52151783.1495996,13.8091571900836,1690655.32866588,2366725.14864659,4057380.47731247,1.07434494867534,9.2393,41.6686,58.3314,56.0201,8.6428,1.0743,13.8092,98.82
ZetaTrac LLC,2013,46.0,46.0,0.8632,4468028.86866453,38513142.555835,8.61971658821137,20224545.9305495,2030403.90408258,18194142.0264669,101520.195204129,2128533.11005027,0.0,0.0,25300127.2034393,821832.408776239,364252.936310442,451860.579123998,184387.437745371,72968.2855978775,0.0,0.0,1801055.71547594,3213.14857603957,51352776.755645,11.4933851738953,1675359.64640176,2274267.75330837,3949627.39971013,0.883975353742655,10.0393,42.4182,57.5818,56.4715,8.6197,0.884,11.4934,86.32
ZetaTrac LLC,2014,46.0,46.0,0.9859,4288801.76984223,34192705.9769082,7.97255452964571,22354796.5706975,2423104.64128584,19931691.9294116,121155.232064292,2255922.51016232,0.0,0.0,27075581.8885177,722677.064136008,362460.589664905,413724.210729077,196927.4324822,80268.4347282922,0.0,0.0,1884658.95025801,3247.73441764745,55350265.3857936,12.905764443347,1768605.78664476,2491461.49117645,4260067.27782121,0.993300111881347,10.8393,41.5159,58.4841,55.5364,7.9726,0.9933,12.9058,98.59
ZetaTrac LLC,2015,47.0,47.0,1.0,4568225.65252469,37284706.2813747,8.16174793396399,22947058.6084317,2670878.20038191,20276180.4080498,133543.910019095,2285316.86605404,0.0,0.0,26133702.1519869,718950.40248677,396784.152934369,414582.644823923,202004.655322356,81551.1038340578,0.0,0.0,1918031.19200549,3233.38450455579,55101215.1623841,12.0618418076462,1719980.82239471,2534522.55100623,4254503.37340094,0.931325135186706,11.6393,40.4273,59.5727,54.2072,8.1617,0.9313,12.0618,100.0
ZetaTrac LLC,2016,47.0,47.0,1.0,4163373.70304042,33697918.8018861,8.09389721063887,21817980.0573094,2714005.1416129,19103974.9156965,135700.257080645,2160962.2789604,0.0,0.0,25010125.4821143,592699.295279621,389096.921337314,373913.351010927,188017.120951583,81149.7719347992,0.0,0.0,1790562.30629498,3624.22775055157,52408130.8129439,12.5878997541516,1633134.25691881,2387996.86446207,4021131.12138088,0.965834779242693,12.4393,40.6138,59.3862,54.2458,8.0939,0.9658,12.5879,100.0
ZetaTrac LLC,2017,47.0,47.0,1.0,4827094.49866565,40160297.8785704,8.31976624648056,23034086.415276,3049553.01512887,19984533.4001471,152477.650756444,2275821.70695522,0.0,0.0,27733669.9876498,534596.139063968,435764.257845123,345029.454622266,216914.621259014,78932.1778991075,0.0,0.0,1905485.99948001,3411.28584071995,56563712.0458912,11.7179624433553,1789533.9333625,2498066.67501839,4287600.60838089,0.888236310593485,13.2393,41.7374,58.2626,55.2542,8.3198,0.8882,11.718,100.0
ZetaTrac LLC,2018,48.0,48.0,1.0,4402140.73239252,33441999.3780158,7.59675835257551,21997368.7105079,3088277.74316009,18909090.9673478,154413.887158005,2486431.49111158,0.0,0.0,27364440.1515075,444220.881338858,418649.101907872,302137.036006288,202460.321493308,76292.6644677297,0.0,0.0,1982954.5984835,3437.10434063161,55278392.0611651,12.557161486094,1758928.51339132,2363636.37091847,4122564.88430979,0.936490933598394,14.0393,42.6659,57.3341,55.7082,7.5968,0.9365,12.5572,100.0
