Company,Year,Total no. of sites,ISO 14001 sites,% certified sites,Production,Water intake,Water intake - KPI,Total Electricity,Renewable Electricity Purchased,Non-Renewable Electricity Purchased,Self-generated AND consumed electricity on-site,Purchased Steam,Sold Electricity,Sold Steam,Natural Gas,Coal,Propane,Fuel Oil,Diesel,Petrol,Biomass,Waste tires,LPG,Other,Total energy,Total energy - KPI,Total CO2 - Scope 1,Total CO2 - Scope 2,Total CO2,Total CO2 - KPI,Renewable_Electricity_Share_%,Scope1_Share_%,Scope2_Share_%,Fossil_Energy_Share_%,Water_per_ton,CO2_per_ton,Energy_per_ton,ISO_Certification_%
AlphaTread Ltd,2009,14.0,14.0,0.9578,805064.499064518,6776399.49598379,8.4172131597629,2951009.07198144,440098.898223628,2510910.17375781,22004.9449111814,429856.071295029,0.0,0.0,3776083.18282769,480409.1710231,279038.957447798,468207.070475802,61706.5419391179,21935.9772467058,0.0,0.0,958146.206354386,2229.65188358302,9428621.90247465,11.7116354198088,371328.655401407,313863.771719726,685192.427121133,0.851102523980779,14.9135,54.1933,45.8067,64.1425,8.4172,0.8511,11.7116,95.78
AlphaTread Ltd,2010,14.0,14.0,0.862,878191.969398113,7430771.62109679,8.46144337460707,3174018.51041717,498749.571020052,2675268.93939712,24937.4785510026,421355.410300434,0.0,0.0,3660133.2879811,416794.292440057,292278.926393798,459276.906286207,63352.4699422482,22344.786670075,0.0,0.0,917621.076473665,2390.52817021946,9429566.19507497,10.7374771390107,356813.101144115,334408.61742464,691221.718568754,0.787096378303821,15.7135,51.6206,48.3794,61.8713,8.4614,0.7871,10.7375,86.2
AlphaTread Ltd,2011,14.0,14.0,0.9902,840895.849070387,7137289.48163449,8.48772114825491,3313518.82326609,547178.110842165,2766340.71242393,27358.9055421082,402307.425395553,0.0,0.0,3850000.69373166,421654.660885086,272791.749541657,440181.091551469,66507.1268370072,20426.392038162,0.0,0.0,945953.725836061,2547.08006815908,9735888.76915091,11.577995990721,366920.273727762,345792.589052991,712712.862780753,0.847563778045354,16.5135,51.4822,48.5178,61.8337,8.4877,0.8476,11.578,99.02
AlphaTread Ltd,2012,15.0,15.0,0.861,925877.809777779,7870332.6777615,8.50040101906155,3155804.75672856,546380.427952633,2609424.32877593,27319.0213976317,459657.119155572,0.0,0.0,4252777.69934423,399854.434677705,282496.513918378,404869.054241662,68948.1211584556,22640.0275535341,0.0,0.0,992405.225529353,2542.84476561502,10041995.7970731,10.8459190737958,388264.168432293,326178.041096991,714442.209529284,0.771637684783437,17.3135,54.3451,45.6549,63.9966,8.5004,0.7716,10.8459,86.1
AlphaTread Ltd,2013,15.0,15.0,0.8512,899363.105969587,8419229.29338578,9.36132384962486,3247543.8374182,588244.029369665,2659299.80804853,29412.2014684832,451354.16932675,0.0,0.0,4389786.73891617,323471.296521278,277063.43222857,377782.346865662,67545.492838243,21127.3395758744,0.0,0.0,1014391.3128804,2441.08132237138,10172507.0478935,11.3107898026645,387271.977495334,332412.476006067,719684.453501401,0.800215673429835,18.1135,53.8114,46.1886,63.6383,9.3613,0.8002,11.3108,85.12
AlphaTread Ltd,2014,15.0,15.0,0.9451,855115.235934272,7330781.4532837,8.57285795554129,3425204.29309584,647826.200002604,2777378.09309324,32391.3100001302,479026.732966414,0.0,0.0,4427250.37910734,289938.707882863,298246.992114073,364429.221455721,63056.3839506196,22877.1063017862,0.0,0.0,1042716.05051884,2269.10199273299,10415014.9693862,12.1796624966074,387856.510844704,347172.261636655,735028.772481358,0.859566923372952,18.9135,52.7675,47.2325,62.5134,8.5729,0.8596,12.1797,94.51
AlphaTread Ltd,2015,16.0,16.0,1.0,953054.122075118,8561252.49246297,8.98296570379683,3467171.27205071,683500.997022928,2783670.27502778,34175.0498511464,423772.36202988,0.0,0.0,3996741.28717491,293733.891623399,328596.35519261,355310.693495092,73767.9785719079,22215.4341233747,0.0,0.0,984279.466556677,2218.33376294662,9947807.07458151,10.4378196832325,362740.696672223,347958.784378473,710699.481050696,0.745707368122248,19.7135,51.04,48.96,60.8864,8.983,0.7457,10.4378,100.0
AlphaTread Ltd,2016,16.0,16.0,1.0,908820.932901096,8613840.22897491,9.47803898120855,3753820.85045137,770040.244032916,2983780.60641845,38502.0122016458,496961.443201812,0.0,0.0,4661045.7178571,232076.47284691,302720.508405051,306725.828781994,74748.0301493517,23273.5822785932,0.0,0.0,1049716.47161157,2404.48907163973,10903493.3946554,11.9974056493723,392587.838027958,372972.575802307,765560.413830265,0.842366616035657,20.5135,51.2811,48.7189,61.0145,9.478,0.8424,11.9974,100.0
AlphaTread Ltd,2017,16.0,16.0,1.0,904609.119471776,8613765.71068549,9.52208586589896,3873796.18406391,825641.760082074,3048154.42398184,41282.0880041037,516402.840422593,0.0,0.0,4697104.89252188,222775.827233409,297580.134169757,313790.485310465,71102.0100833885,23437.3471762746,0.0,0.0,1140984.20241789,2496.35687754152,11159470.2802771,12.3362345570797,398817.547008427,381019.30299773,779836.850006156,0.862070515563145,21.3135,51.1412,48.8588,60.6594,9.5221,0.8621,12.3362,100.0
AlphaTread Ltd,2018,17.0,17.0,1.0,1026082.30459052,8800585.21430324,8.57688040708912,3908328.09343336,864268.345208477,3044059.74822488,43213.4172604239,459123.746421864,0.0,0.0,4839832.0249136,186689.481244945,314176.859630137,291189.792821424,74112.2278040039,21242.556747117,0.0,0.0,1163529.9733652,2256.13352730381,11260480.889909,10.9742472309789,404012.799892215,380507.46852811,784520.268420325,0.764578304206707,22.1135,51.4981,48.5019,61.2143,8.5769,0.7646,10.9742,100.0
AlphaTread Ltd,2019,17.0,17.0,1.0,921412.750099888,7806076.42432901,8.47185631356064,3708010.7633605,849635.247650169,2858375.51571033,42481.7623825085,528974.319205595,0.0,0.0,5009245.04068846,138097.127332392,343082.315468049,247911.223927332,81967.2254759098,22053.0281121412,0.0,0.0,1213376.32335534,2213.76541844009,11294931.1323442,12.2582752747015,410806.324446966,357296.939463792,768103.263910757,0.833614754980858,22.9135,53.4832,46.5168,62.4877,8.4719,0.8336,12.2583,100.0
AlphaTread Ltd,2020,17.0,17.0,1.0,1093951.36076644,9245090.60177174,8.45109840650911,4176844.08568692,990476.149109961,3186367.93657696,49523.8074554981,490700.722616697,0.0,0.0,4456392.97008353,108604.047118691,354710.819462056,219999.846082523,78949.4878336501,21966.0515377274,0.0,0.0,1135134.95429305,2387.85435187786,11045690.8390667,10.0970584572681,370956.432976583,398295.99207212,769252.425048702,0.703187045272059,23.7135,48.223,51.777,57.7433,8.4511,0.7032,10.0971,100.0
